net_profit_to_total_operate_revenue_ttm,cfo_to_ev,accounts_payable_turnover_days,net_profit_ratio,net_non_operating_income_to_total_profit,fixed_asset_ratio,account_receivable_turnover_days,DEGM,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,inventory_turnover_days,OperatingCycle,net_operate_cash_flow_to_operate_income,quick_ratio,intangible_asset_ratio,MLEV,debt_to_equity_ratio,super_quick_ratio,inventory_turnover_rate,operating_profit_growth_rate,current_ratio,net_operate_cash_flow_to_net_debt,net_operate_cash_flow_to_asset,total_asset_turnover_rate,operating_profit_to_total_profit,roa_ttm,admin_expense_rate,equity_to_fixed_asset_ratio,net_operate_cash_flow_to_total_liability,cash_rate_of_sales,goods_service_cash_to_operating_revenue_ttm,date,stkcd,flag
0.162238,0.037306,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.353321,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-19,000002.XSHE,True
-0.124971,-0.033242,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000436,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-19,000004.XSHE,True
0.295892,0.01431,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002293,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-19,000005.XSHE,True
0.291333,0.1196,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.299623,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-19,000006.XSHE,True
-4.77133,-0.006166,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.036766,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-19,000007.XSHE,True
0.1296,0.008489,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.027944,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-19,000008.XSHE,True
0.070635,0.075581,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.362476,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-19,000009.XSHE,True
-0.343581,-0.042572,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.025961,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-19,000010.XSHE,True
0.190961,0.174304,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.284126,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-19,000011.XSHE,True
0.210383,0.010992,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-18,000001.XSHE,True
0.162238,0.037492,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.358703,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-18,000002.XSHE,True
-0.124971,-0.034152,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000447,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-18,000004.XSHE,True
0.295892,0.014245,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002278,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-18,000005.XSHE,True
0.291333,0.120155,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.301186,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-18,000006.XSHE,True
-4.77133,-0.006067,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.036171,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-18,000007.XSHE,True
0.1296,0.008561,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.02824,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-18,000008.XSHE,True
0.070635,0.075868,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.364408,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-18,000009.XSHE,True
-0.343581,-0.042799,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026258,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-18,000010.XSHE,True
0.190961,0.174982,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.285416,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-18,000011.XSHE,True
0.210383,0.01099,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-17,000001.XSHE,True
0.162238,0.037456,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.357644,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-17,000002.XSHE,True
-0.124971,-0.035685,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000467,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-17,000004.XSHE,True
0.295892,0.014441,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002322,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-17,000005.XSHE,True
0.291333,0.119738,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.300012,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-17,000006.XSHE,True
-4.77133,-0.00613,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.036554,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-17,000007.XSHE,True
0.1296,0.008525,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028091,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-17,000008.XSHE,True
0.070635,0.075652,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.362957,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-17,000009.XSHE,True
-0.343581,-0.042629,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026035,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-17,000010.XSHE,True
0.190961,0.174191,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.283912,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-17,000011.XSHE,True
0.210383,0.011012,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-16,000001.XSHE,True
0.162238,0.037717,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.365351,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-16,000002.XSHE,True
-0.124971,-0.036005,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000472,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-16,000004.XSHE,True
0.295892,0.014607,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.00236,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-16,000005.XSHE,True
0.291333,0.120997,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.303561,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-16,000006.XSHE,True
-4.77133,-0.006078,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.03624,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-16,000007.XSHE,True
0.1296,0.008654,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028619,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-16,000008.XSHE,True
0.070635,0.076158,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.366361,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-16,000009.XSHE,True
-0.343581,-0.042971,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026486,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-16,000010.XSHE,True
0.190961,0.17578,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.286937,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-16,000011.XSHE,True
0.210383,0.011013,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-13,000001.XSHE,True
0.162238,0.038063,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.375881,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-13,000002.XSHE,True
-0.124971,-0.03655,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000479,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-13,000004.XSHE,True
0.295892,0.014744,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002391,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-13,000005.XSHE,True
0.291333,0.121994,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.306379,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-13,000006.XSHE,True
-4.77133,-0.006084,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.036274,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-13,000007.XSHE,True
0.1296,0.008673,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028696,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-13,000008.XSHE,True
0.070635,0.07667,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.369829,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-13,000009.XSHE,True
-0.343581,-0.043029,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026563,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-13,000010.XSHE,True
0.190961,0.177515,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.29025,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-13,000011.XSHE,True
0.210383,0.011045,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-12,000001.XSHE,True
0.162238,0.038103,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.377136,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-12,000002.XSHE,True
-0.124971,-0.036587,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000479,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-12,000004.XSHE,True
0.295892,0.014848,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002415,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-12,000005.XSHE,True
0.291333,0.122862,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.308836,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-12,000006.XSHE,True
-4.77133,-0.006101,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.036379,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-12,000007.XSHE,True
0.1296,0.008749,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.029008,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-12,000008.XSHE,True
0.070635,0.077115,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.372854,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-12,000009.XSHE,True
-0.343581,-0.043378,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.027033,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-12,000010.XSHE,True
0.190961,0.178219,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.291597,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-12,000011.XSHE,True
0.210383,0.011041,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-11,000001.XSHE,True
0.162238,0.038103,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.377136,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-11,000002.XSHE,True
-0.124971,-0.036367,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000476,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-11,000004.XSHE,True
0.295892,0.014778,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002399,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-11,000005.XSHE,True
0.291333,0.121138,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.30396,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-11,000006.XSHE,True
-4.77133,-0.006027,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.035931,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-11,000007.XSHE,True
0.1296,0.008617,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028466,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-11,000008.XSHE,True
0.070635,0.076818,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.370832,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-11,000009.XSHE,True
-0.343581,-0.043145,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026718,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-11,000010.XSHE,True
0.190961,0.176125,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.287593,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-11,000011.XSHE,True
0.210383,0.011061,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-10,000001.XSHE,True
0.162238,0.03813,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.377976,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-10,000002.XSHE,True
-0.124971,-0.03551,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000465,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-10,000004.XSHE,True
0.295892,0.014883,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002423,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-10,000005.XSHE,True
0.291333,0.122426,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.307603,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-10,000006.XSHE,True
-4.77133,-0.005857,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.034907,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-10,000007.XSHE,True
0.1296,0.008543,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028166,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-10,000008.XSHE,True
0.070635,0.076523,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.368831,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-10,000009.XSHE,True
-0.343581,-0.042914,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.02641,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-10,000010.XSHE,True
0.190961,0.179165,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.293412,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-10,000011.XSHE,True
0.210383,0.011056,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-09,000001.XSHE,True
0.162238,0.038057,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.375715,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-09,000002.XSHE,True
