net_profit_to_total_operate_revenue_ttm,cfo_to_ev,accounts_payable_turnover_days,net_profit_ratio,net_non_operating_income_to_total_profit,fixed_asset_ratio,account_receivable_turnover_days,DEGM,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,inventory_turnover_days,OperatingCycle,net_operate_cash_flow_to_operate_income,quick_ratio,intangible_asset_ratio,MLEV,debt_to_equity_ratio,super_quick_ratio,inventory_turnover_rate,operating_profit_growth_rate,current_ratio,net_operate_cash_flow_to_net_debt,net_operate_cash_flow_to_asset,total_asset_turnover_rate,operating_profit_to_total_profit,roa_ttm,admin_expense_rate,equity_to_fixed_asset_ratio,net_operate_cash_flow_to_total_liability,cash_rate_of_sales,goods_service_cash_to_operating_revenue_ttm,date,stkcd,flag,单季EP,三个月反转,预期EPTTM,EPTTM一年分位点,EPTTM,预期BP,BP,SPTTM,非流动性冲击,单季ROE,单季SP,三个月换手,标准化预期外收,单季ROA,特异度,三个月波动,一年动量,一个月反转,一个月波动,标准化预期外盈利
0.210383,0.010985,355.17198897370656,0.210383,0.045073,0.002855,757.2570808134468,-0.0031986160164271128,0.1204555703285421,0.009428,691.2386070106762,824.0608850325381,0.759422,1.2530290142348754,0.003275,0.12321555916473319,11.8706,0.9468833570613735,13.732010818030842,0.143449,1.9940820374172945,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,1.0551518229523156,2019-12-30,000001.XSHE,True,0.210383,,0.210383,,0.210383,27.2101,27.2101,0.1204555703285421,27.87534147293304,0.007547,0.1204555703285421,,0.3527630538315487,0.007547,0.39460149445585213,,,,,0.35273956854016786
0.162238,0.037167,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.349389,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-30,000002.XSHE,True,0.162238,,0.162238,,0.162238,14.0801,14.0801,0.025165,4.742168309037624,0.034212,0.025165,,0.3097253946885275,0.034212,0.34645649445585214,,,,,0.3097021072888233
-0.124971,-0.032163,355.17198897370656,-0.124971,-0.02440858726899384,0.007049,155.643,-0.032111,0.718398,0.015851,691.2386070106762,824.0608850325381,1.42708,1.2530290142348754,0.08740829479613733,0.000422,0.124796,3.49573,13.732010818030842,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-30,000004.XSHE,True,-0.124971,,-0.124971,,-0.124971,128.333,128.333,0.718398,0.5938735999429882,-0.210434,0.718398,,0.052984236836040435,-0.210434,0.05924749445585217,,,,,0.052962129959144004
0.295892,0.01454,297.55,0.295892,-0.02440858726899384,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,824.0608850325381,1.61628,0.948673,0.09422,0.002345,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-30,000005.XSHE,True,0.295892,,0.295892,,0.295892,46.8891,46.8891,0.014492,4.555372834489639,0.064954,0.014492,,0.4292010473025343,0.064954,0.4801104944558522,,,,,0.42917721054123176
0.291333,0.120715,355.17198897370656,0.291333,-0.02440858726899384,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,824.0608850325381,1.94655,0.905103,0.08740829479613733,0.302765,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-30,000006.XSHE,True,0.291333,,0.291333,,0.291333,530.549,530.549,0.017799,5.375563762249566,0.054196,0.017799,,0.42512567731534906,0.054196,0.4755514944558522,,,,,0.42510185929302574
-4.77133,-0.006305,355.17198897370656,-4.77133,-0.02440858726899384,0.180105,31.9922,-0.05764,0.1204555703285421,0.025404,3.20008,824.0608850325381,0.577203,2.41575,0.000695,0.037603,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-30,000007.XSHE,True,-4.77133,,-4.77133,,-4.77133,2.87273,2.87273,0.1204555703285421,8.660858117822315,-0.550909,0.1204555703285421,,-4.100477491237675,-0.550909,-4.587111505544148,,,,,-4.100480500061335
0.1296,0.008673,441.473,0.1296,-0.02440858726899384,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028696,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-30,000008.XSHE,True,0.1296,,0.1296,,0.1296,17.2526,17.2526,0.095715,3.73841558470689,0.034667,0.095715,,0.280549714574083,0.034667,0.3138184944558522,,,,,0.28052656132722026
0.070635,0.066398,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.303706,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-30,000009.XSHE,True,0.070898,,0.070898,,0.070898,1.8825,1.8825,0.091807,2.2057720643379595,0.032142,0.091807,,0.22783986783260943,0.032142,0.25511649445585216,,,,,0.22805205617868088
-0.343581,-0.042856,430.971,-0.343581,-0.02440858726899384,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026334,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-30,000010.XSHE,True,-0.343581,,-0.343581,,-0.343581,11.0619,11.0619,0.014317,3.433417452060909,-0.10007,0.014317,,-0.14243507285875392,-0.10007,-0.15936250554414785,,,,,-0.14245628117714076
0.190961,0.175437,355.17198897370656,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,824.0608850325381,2.33221,1.09644,0.08740829479613733,0.286283,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-30,000011.XSHE,True,0.190961,,0.190961,,0.190961,67.9258,67.9258,0.029023,4.047485095136137,0.04718,0.029023,,0.33540138770057437,0.04718,0.3751794944558522,,,7.7771539999999995,25.985361084418688,0.33537798223995785
0.210383,0.010982,355.17198897370656,0.210383,0.045073,0.002855,757.2570808134468,-0.0031986160164271128,0.1204555703285421,0.009428,691.2386070106762,824.0608850325381,0.759422,1.2530290142348754,0.003275,0.12321555916473319,11.8706,0.9468833570613735,13.732010818030842,0.143449,1.9940820374172945,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,1.0551518229523156,2019-12-27,000001.XSHE,True,0.210383,,0.210383,,0.210383,27.2101,27.2101,0.1204555703285421,27.87534147293304,0.007547,0.1204555703285421,,0.3527630538315487,0.007547,0.39460149445585213,,,7.777154000000001,25.985361084418688,0.35273956854016786
0.162238,0.037314,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.353542,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-27,000002.XSHE,True,0.162238,,0.162238,,0.162238,14.0801,14.0801,0.025165,4.742168309037624,0.034212,0.025165,,0.3097253946885275,0.034212,0.34645649445585214,,,7.7771539999999995,25.985361084418688,0.3097021072888233
-0.124971,-0.03222,355.17198897370656,-0.124971,-0.02440858726899384,0.007049,155.643,-0.032111,0.718398,0.015851,691.2386070106762,824.0608850325381,1.42708,1.2530290142348754,0.08740829479613733,0.000422,0.124796,3.49573,13.732010818030842,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-27,000004.XSHE,True,-0.124971,,-0.124971,,-0.124971,128.333,128.333,0.718398,0.5938735999429882,-0.210434,0.718398,,0.052984236836040435,-0.210434,0.05924749445585217,,,7.777154000000001,25.985361084418688,0.052962129959144004
0.295892,0.014507,297.55,0.295892,-0.02440858726899384,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,824.0608850325381,1.61628,0.948673,0.09422,0.002337,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-27,000005.XSHE,True,0.295892,,0.295892,,0.295892,46.8891,46.8891,0.014492,4.555372834489639,0.064954,0.014492,,0.4292010473025343,0.064954,0.4801104944558522,,,7.777153999999998,25.985361084418688,0.42917721054123176
0.291333,0.121422,355.17198897370656,0.291333,-0.02440858726899384,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,824.0608850325381,1.94655,0.905103,0.08740829479613733,0.304762,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-27,000006.XSHE,True,0.291333,,0.291333,,0.291333,530.549,530.549,0.017799,5.375563762249566,0.054196,0.017799,,0.42512567731534906,0.054196,0.4755514944558522,,,7.7771539999999995,25.985361084418688,0.42510185929302574
-4.77133,-0.00625,355.17198897370656,-4.77133,-0.02440858726899384,0.180105,31.9922,-0.05764,0.1204555703285421,0.025404,3.20008,824.0608850325381,0.577203,2.41575,0.000695,0.037271,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-27,000007.XSHE,True,-4.77133,,-4.77133,,-4.77133,2.87273,2.87273,0.1204555703285421,8.660858117822315,-0.550909,0.1204555703285421,,-4.100477491237675,-0.550909,-4.587111505544148,,,7.777154000000001,25.985361084418688,-4.100480500061335
0.1296,0.008635,441.473,0.1296,-0.02440858726899384,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028543,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-27,000008.XSHE,True,0.1296,,0.1296,,0.1296,17.2526,17.2526,0.095715,3.73841558470689,0.034667,0.095715,,0.280549714574083,0.034667,0.3138184944558522,,,7.777154000000001,25.985361084418688,0.28052656132722026
0.070635,0.065904,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.3007,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-27,000009.XSHE,True,0.070898,,0.070898,,0.070898,1.8825,1.8825,0.091807,2.2057720643379595,0.032142,0.091807,,0.22783986783260943,0.032142,0.25511649445585216,,,7.7771539999999995,25.985361084418688,0.22805205617868088
-0.343581,-0.042629,430.971,-0.343581,-0.02440858726899384,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026035,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-27,000010.XSHE,True,-0.343581,,-0.343581,,-0.343581,11.0619,11.0619,0.014317,3.433417452060909,-0.10007,0.014317,,-0.14243507285875392,-0.10007,-0.15936250554414785,,,7.777154,25.985361084418688,-0.14245628117714076
0.190961,0.176817,355.17198897370656,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,824.0608850325381,2.33221,1.09644,0.08740829479613733,0.288915,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-27,000011.XSHE,True,0.190961,,0.190961,,0.190961,67.9258,67.9258,0.029023,4.047485095136137,0.04718,0.029023,,0.33540138770057437,0.04718,0.3751794944558522,,,7.7771539999999995,25.985361084418688,0.33537798223995785
0.210383,0.010991,355.17198897370656,0.210383,0.045073,0.002855,757.2570808134468,-0.0031986160164271128,0.1204555703285421,0.009428,691.2386070106762,824.0608850325381,0.759422,1.2530290142348754,0.003275,0.12321555916473319,11.8706,0.9468833570613735,13.732010818030842,0.143449,1.9940820374172945,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,1.0551518229523156,2019-12-26,000001.XSHE,True,0.210383,,0.210383,,0.210383,27.2101,27.2101,0.1204555703285421,27.87534147293304,0.007547,0.1204555703285421,,0.3527630538315487,0.007547,0.39460149445585213,,,7.777154000000001,25.985361084418688,0.35273956854016786
0.162238,0.037283,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.352659,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-26,000002.XSHE,True,0.162238,,0.162238,,0.162238,14.0801,14.0801,0.025165,4.742168309037624,0.034212,0.025165,,0.3097253946885275,0.034212,0.34645649445585214,,,7.7771539999999995,25.985361084418688,0.3097021072888233
-0.124971,-0.031005,355.17198897370656,-0.124971,-0.02440858726899384,0.007049,155.643,-0.032111,0.718398,0.015851,691.2386070106762,824.0608850325381,1.42708,1.2530290142348754,0.08740829479613733,0.000406,0.124796,3.49573,13.732010818030842,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-26,000004.XSHE,True,-0.124971,,-0.124971,,-0.124971,128.333,128.333,0.718398,0.5938735999429882,-0.210434,0.718398,,0.052984236836040435,-0.210434,0.05924749445585217,,,7.777154000000001,25.985361084418688,0.052962129959144004
0.295892,0.014474,297.55,0.295892,-0.02440858726899384,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,824.0608850325381,1.61628,0.948673,0.09422,0.00233,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-26,000005.XSHE,True,0.295892,,0.295892,,0.295892,46.8891,46.8891,0.014492,4.555372834489639,0.064954,0.014492,,0.4292010473025343,0.064954,0.4801104944558522,,,7.777153999999998,25.985361084418688,0.42917721054123176
0.291333,0.121138,355.17198897370656,0.291333,-0.02440858726899384,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,824.0608850325381,1.94655,0.905103,0.08740829479613733,0.30396,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-26,000006.XSHE,True,0.291333,,0.291333,,0.291333,530.549,530.549,0.017799,5.375563762249566,0.054196,0.017799,,0.42512567731534906,0.054196,0.4755514944558522,,,7.7771539999999995,25.985361084418688,0.42510185929302574
-4.77133,-0.006438,355.17198897370656,-4.77133,-0.02440858726899384,0.180105,31.9922,-0.05764,0.1204555703285421,0.025404,3.20008,824.0608850325381,0.577203,2.41575,0.000695,0.038402,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-26,000007.XSHE,True,-4.77133,,-4.77133,,-4.77133,2.87273,2.87273,0.1204555703285421,8.660858117822315,-0.550909,0.1204555703285421,,-4.100477491237675,-0.550909,-4.587111505544148,,,7.777154000000001,25.985361084418688,-4.100480500061335
0.1296,0.008635,441.473,0.1296,-0.02440858726899384,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028543,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-26,000008.XSHE,True,0.1296,,0.1296,,0.1296,17.2526,17.2526,0.095715,3.73841558470689,0.034667,0.095715,,0.280549714574083,0.034667,0.3138184944558522,,,7.777154000000001,25.985361084418688,0.28052656132722026
0.070635,0.068803,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.318564,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-26,000009.XSHE,True,0.070898,,0.070898,,0.070898,1.8825,1.8825,0.091807,2.2057720643379595,0.032142,0.091807,,0.22783986783260943,0.032142,0.25511649445585216,,,7.7771539999999995,25.985361084418688,0.22805205617868088
-0.343581,-0.042742,430.971,-0.343581,-0.02440858726899384,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026183,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-26,000010.XSHE,True,-0.343581,,-0.343581,,-0.343581,11.0619,11.0619,0.014317,3.433417452060909,-0.10007,0.014317,,-0.14243507285875392,-0.10007,-0.15936250554414785,,,7.777154,25.985361084418688,-0.14245628117714076
0.190961,0.176355,355.17198897370656,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,824.0608850325381,2.33221,1.09644,0.08740829479613733,0.288032,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-26,000011.XSHE,True,0.190961,,0.190961,,0.190961,67.9258,67.9258,0.029023,4.047485095136137,0.04718,0.029023,,0.33540138770057437,0.04718,0.3751794944558522,,,7.7771539999999995,25.985361084418688,0.33537798223995785
0.210383,0.011002,355.17198897370656,0.210383,0.045073,0.002855,757.2570808134468,-0.0031986160164271128,0.1204555703285421,0.009428,691.2386070106762,824.0608850325381,0.759422,1.2530290142348754,0.003275,0.12321555916473319,11.8706,0.9468833570613735,13.732010818030842,0.143449,1.9940820374172945,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,1.0551518229523156,2019-12-25,000001.XSHE,True,0.210383,,0.210383,,0.210383,27.2101,27.2101,0.1204555703285421,27.87534147293304,0.007547,0.1204555703285421,,0.3527630538315487,0.007547,0.39460149445585213,,,7.777154000000001,25.985361084418688,0.35273956854016786
0.162238,0.037497,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.358855,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-25,000002.XSHE,True,0.162238,,0.162238,,0.162238,14.0801,14.0801,0.025165,4.742168309037624,0.034212,0.025165,,0.3097253946885275,0.034212,0.34645649445585214,,,7.7771539999999995,25.985361084418688,0.3097021072888233
-0.124971,-0.033472,355.17198897370656,-0.124971,-0.02440858726899384,0.007049,155.643,-0.032111,0.718398,0.015851,691.2386070106762,824.0608850325381,1.42708,1.2530290142348754,0.08740829479613733,0.000439,0.124796,3.49573,13.732010818030842,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-25,000004.XSHE,True,-0.124971,,-0.124971,,-0.124971,128.333,128.333,0.718398,0.5938735999429882,-0.210434,0.718398,,0.052984236836040435,-0.210434,0.05924749445585217,,,7.777154000000001,25.985361084418688,0.052962129959144004
0.295892,0.014709,297.55,0.295892,-0.02440858726899384,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,824.0608850325381,1.61628,0.948673,0.09422,0.002383,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-25,000005.XSHE,True,0.295892,,0.295892,,0.295892,46.8891,46.8891,0.014492,4.555372834489639,0.064954,0.014492,,0.4292010473025343,0.064954,0.4801104944558522,,,7.777153999999998,25.985361084418688,0.42917721054123176
0.291333,0.121851,355.17198897370656,0.291333,-0.02440858726899384,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,824.0608850325381,1.94655,0.905103,0.08740829479613733,0.305973,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-25,000006.XSHE,True,0.291333,,0.291333,,0.291333,530.549,530.549,0.017799,5.375563762249566,0.054196,0.017799,,0.42512567731534906,0.054196,0.4755514944558522,,,7.7771539999999995,25.985361084418688,0.42510185929302574
